"ID","SimilarityMetric","Label1","evaluationMode","Label2","FingerprintRadius","Label3","similarityThreshold","Label4","BA","sdBA","Label5","F1","sdF1","Label6","MCC","sdMCC","Label7","nFound","sdnFound","Label8","nNotFound","sdnNotFound"
"208","DiceSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.35,"ba:",0.85319,0.01932,"f1:",0.9644,0.00454,"mcc",0.72009,0.0345,"found:",1010,1.85,"notFound",1,1.04
"145","DiceSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.45,"ba:",0.85418,0.01982,"f1:",0.96452,0.00461,"mcc",0.7216,0.03474,"found:",1007,1.8,"notFound",4,1.78
"136","TanimotoSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.3,"ba:",0.85449,0.01969,"f1:",0.96457,0.00463,"mcc",0.72167,0.03505,"found:",1007,1.85,"notFound",5,1.67
"113","TanimotoSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.35,"ba:",0.85433,0.02,"f1:",0.96436,0.00468,"mcc",0.72171,0.03538,"found:",1002,2.34,"notFound",10,2.18
"129","DiceSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.55,"ba:",0.85535,0.01993,"f1:",0.96452,0.00483,"mcc",0.72359,0.03675,"found:",993,3.73,"notFound",18,3.23
"237","calc_ergfp","evaluationMode:","top","FPRadius",0,"similarityThreshold:",0.8,"ba:",0.85782,0.02246,"f1:",0.97153,0.00303,"mcc",0.7236,0.02526,"found:",566,10.34,"notFound",445,10.75
"70","TanimotoSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.4,"ba:",0.85588,0.0187,"f1:",0.96505,0.0047,"mcc",0.72895,0.03584,"found:",984,5.03,"notFound",27,5.12
"118","DiceSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.6,"ba:",0.85831,0.01889,"f1:",0.96545,0.00482,"mcc",0.73479,0.03683,"found:",960,8.78,"notFound",51,8.82
"120","DiceSimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.55,"ba:",0.82003,0.01533,"f1:",0.95442,0.00601,"mcc",0.74154,0.01678,"found:",776,6.77,"notFound",236,6.19
"173","TverskySimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.7,"ba:",0.90432,0.01177,"f1:",0.96795,0.00269,"mcc",0.74319,0.02897,"found:",833,16.27,"notFound",179,15.94
"74","TanimotoSimilarity","evaluationMode:","probability","FPRadius",3,"similarityThreshold:",0.3,"ba:",0.82562,0.01672,"f1:",0.95654,0.00614,"mcc",0.74322,0.02278,"found:",781,9.02,"notFound",230,8.83
"59","TanimotoSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.45,"ba:",0.86325,0.01887,"f1:",0.96589,0.00477,"mcc",0.74347,0.03574,"found:",928,10.77,"notFound",83,10.37
"144","DiceSimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.35,"ba:",0.8752,0.01825,"f1:",0.969,0.00383,"mcc",0.75234,0.02632,"found:",1006,1.8,"notFound",5,1.6
"196","DiceSimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.3,"ba:",0.87525,0.01824,"f1:",0.9691,0.00381,"mcc",0.75244,0.02631,"found:",1009,1.43,"notFound",2,1.14
"135","DiceSimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.4,"ba:",0.87559,0.01849,"f1:",0.96902,0.00391,"mcc",0.75393,0.02733,"found:",998,3.67,"notFound",13,3.63
"143","DiceSimilarity","evaluationMode:","top","FPRadius",3,"similarityThreshold:",0.3,"ba:",0.88164,0.01856,"f1:",0.96992,0.0039,"mcc",0.75686,0.02928,"found:",1005,1.9,"notFound",7,1.62
"223","TverskySimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.35,"ba:",0.90799,0.01115,"f1:",0.97188,0.00218,"mcc",0.75878,0.02086,"found:",1006,1.68,"notFound",6,1.26
"214","TverskySimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.4,"ba:",0.90799,0.01127,"f1:",0.97177,0.00214,"mcc",0.75917,0.02064,"found:",1000,3.62,"notFound",11,3.58
"229","TverskySimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.3,"ba:",0.90855,0.01143,"f1:",0.97205,0.0022,"mcc",0.75983,0.02083,"found:",1008,1.33,"notFound",4,1.3
"225","TverskySimilarity","evaluationMode:","top","FPRadius",3,"similarityThreshold:",0.3,"ba:",0.91011,0.01643,"f1:",0.97213,0.00246,"mcc",0.76161,0.02119,"found:",1005,2.01,"notFound",6,1.4
"205","TverskySimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.45,"ba:",0.90864,0.01175,"f1:",0.97208,0.00232,"mcc",0.76242,0.0219,"found:",986,5.33,"notFound",26,5.14
"217","TverskySimilarity","evaluationMode:","top","FPRadius",3,"similarityThreshold:",0.35,"ba:",0.91013,0.01691,"f1:",0.97213,0.00273,"mcc",0.76301,0.02348,"found:",995,4.71,"notFound",16,4.63
"107","DiceSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.65,"ba:",0.87162,0.01664,"f1:",0.96808,0.00424,"mcc",0.76551,0.03145,"found:",871,7.91,"notFound",140,7.26
"128","DiceSimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.45,"ba:",0.87949,0.0182,"f1:",0.97034,0.00405,"mcc",0.76557,0.0295,"found:",976,4.8,"notFound",36,4.65
"140","DiceSimilarity","evaluationMode:","top","FPRadius",3,"similarityThreshold:",0.35,"ba:",0.88615,0.01969,"f1:",0.97087,0.00425,"mcc",0.76565,0.03237,"found:",989,4.56,"notFound",23,4.47
"103","DiceSimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.7,"ba:",0.83256,0.01569,"f1:",0.95608,0.00641,"mcc",0.76596,0.02048,"found:",700,9.57,"notFound",311,9.7
"73","TanimotoSimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.3,"ba:",0.88117,0.01923,"f1:",0.97059,0.00426,"mcc",0.76914,0.03076,"found:",963,6.7,"notFound",48,6.42
"209","TverskySimilarity","evaluationMode:","top","FPRadius",3,"similarityThreshold:",0.4,"ba:",0.91558,0.01861,"f1:",0.97292,0.00309,"mcc",0.77365,0.02502,"found:",962,6.8,"notFound",50,6.69
"199","TverskySimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.5,"ba:",0.91421,0.01184,"f1:",0.97287,0.00289,"mcc",0.77495,0.0251,"found:",947,7.1,"notFound",65,6.94
"170","TverskySimilarity","evaluationMode:","probability","FPRadius",1,"similarityThreshold:",0.75,"ba:",0.86511,0.01422,"f1:",0.96409,0.00314,"mcc",0.77668,0.01907,"found:",638,15.43,"notFound",373,15.2
"46","TanimotoSimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.5,"ba:",0.88087,0.01251,"f1:",0.97017,0.00321,"mcc",0.78317,0.02526,"found:",833,7.52,"notFound",178,7.06
"132","DiceSimilarity","evaluationMode:","top","FPRadius",3,"similarityThreshold:",0.4,"ba:",0.89367,0.01979,"f1:",0.97286,0.00397,"mcc",0.78568,0.03118,"found:",935,9.31,"notFound",76,8.91
"124","DiceSimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.5,"ba:",0.88999,0.01905,"f1:",0.97236,0.00392,"mcc",0.7882,0.02825,"found:",908,8.39,"notFound",103,7.75
"166","TverskySimilarity","evaluationMode:","top","FPRadius",1,"similarityThreshold:",0.75,"ba:",0.92034,0.01095,"f1:",0.97113,0.00422,"mcc",0.78995,0.03345,"found:",638,15.43,"notFound",373,15.2
"63","TanimotoSimilarity","evaluationMode:","probability","FPRadius",2,"similarityThreshold:",0.4,"ba:",0.86276,0.01915,"f1:",0.96653,0.00608,"mcc",0.79868,0.02562,"found:",714,8.28,"notFound",298,8.14
"149","TverskySimilarity","evaluationMode:","top","FPRadius",3,"similarityThreshold:",0.9,"ba:",0.9,0.2,"f1:",1,0,"mcc",0.8,0.4,"found:",23,2.91,"notFound",989,3.22
"152","TverskySimilarity","evaluationMode:","probability","FPRadius",3,"similarityThreshold:",0.9,"ba:",0.9,0.2,"f1:",1,0,"mcc",0.8,0.4,"found:",23,2.91,"notFound",989,3.22
"65","TanimotoSimilarity","evaluationMode:","top","FPRadius",2,"similarityThreshold:",0.35,"ba:",0.89835,0.02037,"f1:",0.97401,0.00414,"mcc",0.80411,0.03009,"found:",862,6.84,"notFound",149,6.27
